target,deck,solver,exec,run,status,mode,pulse_rhs,freq_mhz,abs_res,rel_res,diag_spread,sin_rel_res
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,cpu,1,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,cpu,2,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,cpu,3,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,hybrid,1,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,hybrid,2,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,hybrid,3,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,gpu(cpu-fallback),1,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,gpu(cpu-fallback),2,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,hallen,gpu(cpu-fallback),3,ok,hallen,Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,cpu,1,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,cpu,2,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,cpu,3,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,hybrid,1,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,hybrid,2,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,hybrid,3,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,gpu(cpu-fallback),1,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,gpu(cpu-fallback),2,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,pulse,gpu(cpu-fallback),3,ok,pulse,Nec2,14.200000,3.446904e-15,1.507370e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,cpu,1,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,cpu,2,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,cpu,3,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,hybrid,1,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,hybrid,2,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,hybrid,3,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,gpu(cpu-fallback),1,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,gpu(cpu-fallback),2,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-freesp-51seg.nec,sinusoidal,gpu(cpu-fallback),3,ok,sinusoidal->hallen(residual),Nec2,14.200000,2.931358e-8,3.479257e-7,1.000000e0,8.219681e-1
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,cpu,1,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,cpu,2,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,cpu,3,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,hybrid,1,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,hybrid,2,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,hybrid,3,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,gpu(cpu-fallback),1,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,gpu(cpu-fallback),2,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,hallen,gpu(cpu-fallback),3,ok,hallen,Nec2,14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,pulse,cpu,1,ok,pulse,Nec2,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,pulse,cpu,2,ok,pulse,Nec2,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,pulse,cpu,3,ok,pulse,Nec2,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,pulse,hybrid,1,ok,pulse,Nec2,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
DC0SK-P14s,corpus/dipole-ground-51seg.nec,pulse,hybrid,2,ok,pulse,Nec2,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
